# f (Hz)	sigma(f)	PI(f)
2.000000e+01	8.884577e-06	3.843166e-07
2.003125e+01	3.128737e-06	3.783630e-07
2.006250e+01	3.030550e-06	3.725106e-07
2.009375e+01	2.982559e-06	3.667577e-07
2.012500e+01	2.946145e-06	3.611023e-07
2.015625e+01	2.882757e-06	3.555427e-07
2.018750e+01	2.847450e-06	3.500771e-07
2.021875e+01	3.005520e-06	3.447038e-07
2.025000e+01	2.807058e-06	3.394211e-07
2.028125e+01	2.748079e-06	3.342273e-07
2.031250e+01	2.720288e-06	3.291208e-07
2.034375e+01	2.700002e-06	3.241000e-07
2.037500e+01	2.688690e-06	3.191633e-07
2.040625e+01	2.827523e-06	3.143092e-07
2.043750e+01	2.665339e-06	3.095362e-07
2.046875e+01	2.662839e-06	3.048428e-07
2.050000e+01	2.784631e-06	3.002275e-07
2.053125e+01	2.604237e-06	2.956890e-07
2.056250e+01	2.545251e-06	2.912259e-07
2.059375e+01	2.509165e-06	2.868367e-07
2.062500e+01	2.482535e-06	2.825202e-07
2.065625e+01	2.458799e-06	2.782751e-07
2.068750e+01	2.440126e-06	2.741000e-07
2.071875e+01	2.441585e-06	2.699937e-07
2.075000e+01	2.443349e-06	2.659550e-07
2.078125e+01	2.401668e-06	2.619826e-07
2.081250e+01	2.375496e-06	2.580754e-07
2.084375e+01	2.353208e-06	2.542322e-07
2.087500e+01	2.322408e-06	2.504519e-07
2.090625e+01	2.315221e-06	2.467333e-07
2.093750e+01	2.325638e-06	2.430753e-07
2.096875e+01	2.324759e-06	2.394770e-07
2.100000e+01	6.268671e-06	2.359371e-07
2.103125e+01	2.338265e-06	2.324547e-07
2.106250e+01	2.311966e-06	2.290287e-07
2.109375e+01	2.275768e-06	2.256582e-07
2.112500e+01	2.237406e-06	2.223422e-07
2.115625e+01	2.215737e-06	2.190798e-07
2.118750e+01	2.192189e-06	2.158699e-07
2.121875e+01	2.182766e-06	2.127116e-07
2.125000e+01	2.175442e-06	2.096041e-07
2.128125e+01	2.140061e-06	2.065465e-07
2.131250e+01	2.117974e-06	2.035379e-07
2.134375e+01	2.107396e-06	2.005774e-07
2.137500e+01	2.113350e-06	1.976642e-07
2.140625e+01	2.430399e-06	1.947974e-07
2.143750e+01	2.632519e-06	1.919764e-07
2.146875e+01	2.358754e-06	1.892002e-07
2.150000e+01	2.377769e-06	1.864681e-07
2.153125e+01	2.092339e-06	1.837794e-07
2.156250e+01	2.041275e-06	1.811332e-07
2.159375e+01	2.006396e-06	1.785289e-07
2.162500e+01	1.985001e-06	1.759657e-07
2.165625e+01	1.973283e-06	1.734429e-07
2.168750e+01	1.989209e-06	1.709599e-07
2.171875e+01	2.007708e-06	1.685159e-07
2.175000e+01	1.974802e-06	1.661103e-07
2.178125e+01	1.958656e-06	1.637424e-07
2.181250e+01	1.996493e-06	1.614116e-07
2.184375e+01	1.965162e-06	1.591172e-07
2.187500e+01	1.907592e-06	1.568587e-07
2.190625e+01	1.885710e-06	1.546353e-07
2.193750e+01	1.872470e-06	1.524466e-07
2.196875e+01	1.866736e-06	1.503152e-07
2.200000e+01	4.536944e-06	1.482638e-07
2.203125e+01	1.842067e-06	1.462434e-07
2.206250e+01	1.826477e-06	1.442532e-07
2.209375e+01	1.819006e-06	1.423098e-07
2.212500e+01	1.808326e-06	1.404447e-07
2.215625e+01	1.799269e-06	1.386067e-07
2.218750e+01	1.800018e-06	1.367953e-07
2.221875e+01	1.818840e-06	1.350101e-07
2.225000e+01	1.824893e-06	1.332945e-07
2.228125e+01	1.798747e-06	1.316214e-07
2.231250e+01	1.781703e-06	1.299716e-07
2.234375e+01	1.779236e-06	1.283447e-07
2.237500e+01	1.781288e-06	1.267404e-07
2.240625e+01	1.766615e-06	1.251946e-07
2.243750e+01	1.763015e-06	1.236915e-07
2.246875e+01	1.785016e-06	1.222085e-07
2.250000e+01	1.971640e-06	1.207453e-07
2.253125e+01	1.764840e-06	1.193016e-07
2.256250e+01	1.714577e-06	1.178771e-07
2.259375e+01	1.695341e-06	1.165223e-07
2.262500e+01	1.700962e-06	1.151879e-07
2.265625e+01	1.734290e-06	1.138706e-07
2.268750e+01	4.060528e-06	1.125701e-07
2.271875e+01	1.814113e-06	1.112863e-07
2.275000e+01	1.703832e-06	1.100188e-07
2.278125e+01	1.701147e-06	1.087973e-07
2.281250e+01	1.690925e-06	1.076107e-07
2.284375e+01	1.681816e-06	1.064387e-07
2.287500e+01	1.680920e-06	1.052810e-07
2.290625e+01	1.678029e-06	1.041374e-07
2.293750e+01	1.663450e-06	1.030078e-07
2.296875e+01	1.649752e-06	1.018919e-07
2.300000e+01	3.732779e-06	1.008133e-07
2.303125e+01	1.624355e-06	9.976928e-08
2.306250e+01	1.618986e-06	9.873750e-08
2.309375e+01	1.617495e-06	9.771777e-08
2.312500e+01	1.611564e-06	9.670993e-08
2.315625e+01	1.592397e-06	9.571382e-08
2.318750e+01	1.579605e-06	9.472930e-08
2.321875e+01	1.598118e-06	9.375620e-08
2.325000e+01	1.649591e-06	9.282018e-08
2.328125e+01	1.683307e-06	9.191039e-08
2.331250e+01	3.870568e-06	9.101072e-08
2.334375e+01	1.825711e-06	9.012104e-08
2.337500e+01	1.614803e-06	8.924123e-08
2.340625e+01	1.563202e-06	8.837117e-08
2.343750e+01	1.572225e-06	8.751074e-08
2.346875e+01	1.605718e-06	8.665981e-08
2.350000e+01	1.750854e-06	8.581828e-08
2.353125e+01	1.597496e-06	8.501755e-08
2.356250e+01	1.573149e-06	8.423139e-08
2.359375e+01	1.567643e-06	8.345354e-08
2.362500e+01	1.573551e-06	8.268388e-08
2.365625e+01	1.588780e-06	8.192232e-08
2.368750e+01	1.613483e-06	8.116877e-08
2.371875e+01	1.609936e-06	8.042313e-08
2.375000e+01	1.573171e-06	7.968531e-08
2.378125e+01	1.555055e-06	7.895521e-08
2.381250e+01	1.556491e-06	7.823622e-08
2.384375e+01	1.605328e-06	7.755517e-08
2.387500e+01	1.691025e-06	7.688093e-08
2.390625e+01	3.800691e-06	7.621342e-08
2.393750e+01	1.740063e-06	7.555256e-08
2.396875e+01	1.694203e-06	7.489829e-08
2.400000e+01	5.626892e-06	7.425053e-08
2.403125e+01	1.589176e-06	7.360919e-08
2.406250e+01	1.587480e-06	7.297423e-08
2.409375e+01	1.581313e-06	7.234555e-08
2.412500e+01	1.565190e-06	7.172309e-08
2.415625e+01	1.551239e-06	7.111755e-08
2.418750e+01	1.547642e-06	7.053762e-08
2.421875e+01	1.547130e-06	6.996316e-08
2.425000e+01	1.673780e-06	6.939412e-08
2.428125e+01	1.535564e-06	6.883042e-08
2.431250e+01	1.528772e-06	6.827202e-08
2.434375e+01	1.514401e-06	6.771886e-08
2.437500e+01	1.489865e-06	6.717089e-08
2.440625e+01	1.478934e-06	6.662804e-08
2.443750e+01	1.470325e-06	6.609026e-08
2.446875e+01	1.479489e-06	6.555750e-08
2.450000e+01	1.588039e-06	6.502971e-08
2.453125e+01	1.471491e-06	6.452159e-08
2.456250e+01	1.451129e-06	6.403062e-08
2.459375e+01	1.448128e-06	6.354401e-08
2.462500e+01	1.452145e-06	6.306170e-08
2.465625e+01	1.479152e-06	6.258366e-08
2.468750e+01	1.487414e-06	6.210984e-08
2.471875e+01	1.447314e-06	6.164021e-08
2.475000e+01	1.436075e-06	6.117471e-08
2.478125e+01	1.430223e-06	6.071330e-08
2.481250e+01	1.422220e-06	6.025595e-08
2.484375e+01	1.411847e-06	5.980262e-08
2.487500e+01	1.405187e-06	5.935326e-08
2.490625e+01	1.400218e-06	5.890783e-08
2.493750e+01	1.390241e-06	5.848175e-08
2.496875e+01	1.403726e-06	5.806819e-08
2.500000e+01	inf	5.765807e-08
2.503125e+01	1.374912e-06	5.725136e-08
2.506250e+01	1.341492e-06	5.684801e-08
2.509375e+01	1.325178e-06	5.644801e-08
2.512500e+01	1.306960e-06	5.605131e-08
2.515625e+01	1.286005e-06	5.565789e-08
